1,2,16,1,17
2,2,20,1,21
3,4,11,3,12
4,4,13,3,14
5,6,16,5,17
6,6,20,5,21
7,8,11,7,12
8,10,14,9,15
9,10,16,9,17
10,10,18,9,19
11,10,22,9,23
12,13,7,12,8
13,13,10,12,11
14,13,12,12,13
15,13,14,12,15
16,13,16,12,17
17,13,18,12,19
18,13,22,12,23
19,16,8,15,9
20,16,12,15,13
21,16,16,15,17
22,16,18,15,19
23,16,22,15,23
24,19,8,18,9
25,19,12,18,13
26,21,7,20,8
27,21,9,20,10
28,21,11,20,12
29,21,13,20,14
30,21,15,20,16
31,23,15,22,16
32,23,13,22,14
33,23,11,22,13
34,23,9,22,10
35,23,7,22,8
36,25,7,24,8
37,25,9,24,10
38,25,11,24,12
39,25,13,24,14
40,25,15,24,16
41,27,15,26,16
42,27,13,26,14
43,27,11,26,12
44,27,9,26,10
45,27,7,26,8
